title,desc,company,location,skills
Software - Site Reliability Engineering ship (Fall 2022),,Tesla,Palo Alto ,"[{'Python': 'programming language'}, {'Big data': 'paradigm '}, {'Linux': 'operating system'}, {'C': 'programming language'}]"
INTERNSHIP: DevOps SOLIDWORKS 3DEXPERIENCE R&D May - Nov 2022,,Dassault Systèmes,Waltham ,"[{'Elasticsearch': 'search engine'}, {'SQL': 'DataBase'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'Agile': 'project management'}, {'C++': 'programming language'}, {'C': 'programming language'}]"
DevOps / SRE ,,Informatica,Redwood City ,"[{'Azure': 'cloud'}, {'Go': 'programming language'}, {'UNIX': 'operating system'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Linux': 'operating system'}, {'C++': 'programming language'}, {'C': 'programming language'}, {'Kubernetes': 'Technology'}]"
IT DevOps Summer  2022,,"Tyler Technologies, Inc.",Plano ,"[{'SQL': 'DataBase'}, {'Jira': 'Technology'}, {'DevOps': 'IT'}, {'C': 'programming language'}]"
DevOps Engineer ,,Numerix,New York ,"[{'UNIX': 'operating system'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Windows': 'operating system'}, {'C': 'programming language'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
DevOps  - Summer ship,,SS&C Technologies,Waltham ,"[{'C': 'programming language'}, {'Node.js': 'Back-end development'}]"
IT DevOps Summer  2022,,Tyler Technologies,Plano ,"[{'SQL': 'DataBase'}, {'Jira': 'Technology'}, {'DevOps': 'IT'}, {'C': 'programming language'}]"
 – DevOps (Customer Engagement Development),,StoneX Group Inc. US,Orlando ,"[{'DevOps': 'IT'}, {'Azure': 'cloud'}, {'.NET': 'Back-end development'}, {'JavaScript': 'programming language'}, {'C': 'programming language'}]"
 - DevOps Engineer,,Informatica,Redwood City ,"[{'Azure': 'cloud'}, {'UNIX': 'operating system'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Linux': 'operating system'}, {'C': 'programming language'}, {'Go': 'programming language'}, {'Git': 'Technology'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
DevOps Software Engineering ,,Micro Focus,Provo ,"[{'DevOps': 'IT'}, {'Python': 'programming language'}, {'Linux': 'operating system'}, {'Agile': 'project management'}, {'C': 'programming language'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
Summer  - Site Reliability,,Dotdash Meredith,New York ,"[{'GitHub': 'Technology'}, {'C': 'programming language'}, {'Git': 'Technology'}]"
DevOps Engineer  – Summer 2022,,American Eagle Outfitters,Pittsburgh ,"[{'DevOps': 'IT'}, {'Python': 'programming language'}, {'Linux': 'operating system'}, {'C': 'programming language'}, {'Go': 'programming language'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
Site Reliability Engineering ,,Intel,Hillsboro ,"[{'Git': 'Technology'}, {'Python': 'programming language'}, {'Linux': 'operating system'}, {'C': 'programming language'}, {'Go': 'programming language'}]"
Summer -DevOps Engineer,,Cirrus Logic,Austin ,"[{'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Linux': 'operating system'}, {'Agile': 'project management'}, {'Windows': 'operating system'}, {'C': 'programming language'}]"
DevOps Engineer ,,NICE CXone,Salt Lake City ,"[{'Azure': 'cloud'}, {'Jira': 'Technology'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'C': 'programming language'}, {'Go': 'programming language'}, {'Docker': 'Technology'}]"
Schneider ship - DevOps Engineer (Start Spring 2022),,Schneider Electric,Franklin ,"[{'SQL': 'DataBase'}, {'Spark': 'Technology'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'C': 'programming language'}, {'Scala': 'programming language'}, {'Kubernetes': 'Technology'}]"
Information Security – Dev Ops INTERNSHIP,,CME Management,Chicago ,"[{'Python': 'programming language'}, {'AWS': 'cloud'}, {'C': 'programming language'}, {'Go': 'programming language'}]"
Information Security – Dev Ops INTERNSHIP,,CME Group,Chicago ,"[{'Python': 'programming language'}, {'AWS': 'cloud'}, {'C': 'programming language'}, {'Go': 'programming language'}]"
Build and Release Management,,Impinj,Remote ,"[{'Python': 'programming language'}, {'C': 'programming language'}, {'Go': 'programming language'}, {'GitHub': 'Technology'}, {'Git': 'Technology'}]"
DevOps Engineer - Summer 2022,,Inspire Brands,Canton ,"[{'.NET': 'Back-end development'}, {'C++': 'programming language'}, {'DevOps': 'IT'}, {'Agile': 'project management'}, {'C': 'programming language'}, {'Go': 'programming language'}]"
INTERN DevOps Software Engineer,,"TapHere Technology, LLC",Manassas ,"[{'DevOps': 'IT'}, {'Agile': 'project management'}, {'C': 'programming language'}, {'Go': 'programming language'}]"
Site Reliability Engineering  (Summer 2022),,IQVIA,Remote ,"[{'Azure': 'cloud'}, {'Linux': 'operating system'}, {'Agile': 'project management'}, {'C': 'programming language'}, {'Go': 'programming language'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
Technical  (Graduate),,Ellucian,California ,"[{'Git': 'Technology'}, {'UNIX': 'operating system'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Linux': 'operating system'}, {'Windows': 'operating system'}, {'C': 'programming language'}, {'Docker': 'Technology'}]"
2022 Summer : Site Reliability Engineer,,Humanity,Charlotte ,"[{'Python': 'programming language'}, {'Kubernetes': 'Technology'}, {'C': 'programming language'}]"
"Software Engineer, DevOps ()",,Ripple,San Francisco ,"[{'Go': 'programming language'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'C': 'programming language'}]"
2022 Summer : Site Reliability Engineer,,Spectrum,Charlotte ,"[{'Python': 'programming language'}, {'Kubernetes': 'Technology'}, {'C': 'programming language'}]"
 - SRE (Site Reliability Engineer),,Pearson,San Antonio +2 locations,"[{'Azure': 'cloud'}, {'SQL': 'DataBase'}, {'C++': 'programming language'}, {'C': 'programming language'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Go': 'programming language'}, {'JavaScript': 'programming language'}]"
Site Reliability Engineer ,,"DigiCert, Inc.",Utah ,"[{'SQL': 'DataBase'}, {'AWS': 'cloud'}, {'Linux': 'operating system'}, {'C': 'programming language'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
IT Automation/DevOps Engineering ,,Thermo Fisher Scientific,Pittsburgh ,"[{'DevOps': 'IT'}, {'C': 'programming language'}]"
Site Reliability Engineer ,,TradeStation,Plantation ,"[{'Azure': 'cloud'}, {'Go': 'programming language'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'C': 'programming language'}, {'C#': 'programming language'}, {'Git': 'Technology'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
Site Reliability Engineer - ,,Copart,Dallas ,"[{'Python': 'programming language'}, {'C': 'programming language'}, {'PHP': 'programming language'}]"
[Campus] Software Engineer  (BS/MS) (Technical Infrastructures-US-Compute Orchestration) - 2022 Summer,,TikTok,Mountain View ,"[{'Go': 'programming language'}, {'C++': 'programming language'}, {'Python': 'programming language'}, {'Kubernetes': 'Technology'}, {'C#': 'programming language'}, {'C': 'programming language'}]"
DevOps Engineer - ,,Domo,American Fork ,"[{'Git': 'Technology'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'Linux': 'operating system'}, {'C': 'programming language'}, {'UNIX': 'operating system'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
 - Dev Ops,,StoneX Group Inc. US,Chicago ,"[{'.NET': 'Back-end development'}, {'DevOps': 'IT'}, {'C': 'programming language'}]"
